epoch,step,train_loss_epoch,train_loss_step,val_psnr
0,49,,0.07242993265390396,
0,99,,0.04196791723370552,
0,149,,0.02034231647849083,
0,199,,0.0477970726788044,
0,249,,0.03869783133268356,
0,299,,0.03808145597577095,
0,349,,0.030585559085011482,
0,399,,0.03157902508974075,
0,449,,0.013392576947808266,
0,499,,0.014322505332529545,
0,549,,0.020291266962885857,
0,599,,0.04631944000720978,
0,649,,0.02059483900666237,
0,699,,0.02068963274359703,
0,749,,0.010956245474517345,
0,799,,0.01621103100478649,
0,849,,0.00867692194879055,
0,899,,0.02160794287919998,
0,949,,0.012263487093150616,
0,999,,0.014292201958596706,
0,1049,,0.013254457153379917,
0,1099,,0.014512564055621624,
0,1149,,0.013121622614562511,
0,1199,,0.03144016116857529,
0,1249,,0.013573575764894485,
0,1279,,,30.39830207824707
0,1299,,0.015512068755924702,
0,1349,,0.026973897591233253,
0,1399,,0.011206243187189102,
0,1449,,0.01161205768585205,
0,1499,,0.011164783500134945,
0,1549,,0.013950131833553314,
0,1599,,0.017064595595002174,
0,1649,,0.008541015908122063,
0,1699,,0.012690342962741852,
0,1749,,0.020603910088539124,
0,1799,,0.015944937244057655,
0,1849,,0.022504320368170738,
0,1899,,0.01620427705347538,
0,1949,,0.024062801152467728,
0,1999,,0.01326061226427555,
0,2049,,0.013438938185572624,
0,2099,,0.018692979589104652,
0,2149,,0.011926950886845589,
0,2199,,0.019638605415821075,
0,2249,,0.012161056511104107,
0,2299,,0.01060022134333849,
0,2349,,0.015690673142671585,
0,2399,,0.0063630216754972935,
0,2449,,0.012352954596281052,
0,2499,,0.005658621434122324,
0,2549,,0.011767452582716942,
0,2559,,,36.252872467041016
0,2599,,0.02219471149146557,
0,2649,,0.010690397582948208,
0,2699,,0.012662261724472046,
0,2749,,0.010505618527531624,
0,2799,,0.009678768925368786,
0,2849,,0.00686683552339673,
0,2899,,0.017801949754357338,
0,2949,,0.011124617420136929,
0,2999,,0.0051552001386880875,
0,3049,,0.009244631044566631,
0,3099,,0.009495474398136139,
0,3149,,0.012673572637140751,
0,3199,,0.007232810836285353,
0,3249,,0.010868853889405727,
0,3299,,0.01184157282114029,
0,3349,,0.008328019641339779,
0,3399,,0.009834564290940762,
0,3449,,0.008329789154231548,
0,3499,,0.012612871825695038,
0,3549,,0.010324160568416119,
0,3599,,0.012956229038536549,
0,3649,,0.007841520942747593,
0,3699,,0.005840132478624582,
0,3749,,0.00773744797334075,
0,3799,,0.010318886488676071,
0,3839,,,36.95051574707031
0,3849,,0.015581459738314152,
0,3899,,0.013907737098634243,
0,3949,,0.007040672469884157,
0,3999,,0.012442756444215775,
0,4049,,0.01566741056740284,
0,4099,,0.007384467404335737,
0,4149,,0.010140721686184406,
0,4199,,0.01474346686154604,
0,4249,,0.008226238191127777,
0,4299,,0.008057291619479656,
0,4349,,0.007637054659426212,
0,4399,,0.0058336202055215836,
0,4449,,0.007569121662527323,
0,4499,,0.006071674637496471,
0,4549,,0.010122221894562244,
0,4599,,0.011036643758416176,
0,4649,,0.015368967317044735,
0,4699,,0.008421593345701694,
0,4749,,0.009524434804916382,
0,4799,,0.011884170584380627,
0,4849,,0.008716271258890629,
0,4899,,0.011598922312259674,
0,4949,,0.010416670702397823,
0,4999,,0.00699433870613575,
0,5049,,0.010186471045017242,
0,5099,,0.009964369237422943,
0,5119,,,38.24372100830078
0,5121,0.015330764465034008,,
1,5149,,0.008091083727777004,
1,5199,,0.009538483805954456,
1,5249,,0.012318090535700321,
1,5299,,0.006459287367761135,
1,5349,,0.005580634344369173,
1,5399,,0.012198704294860363,
1,5449,,0.011133132502436638,
1,5499,,0.007901975885033607,
1,5549,,0.005219888873398304,
1,5599,,0.010459301061928272,
1,5649,,0.009524957276880741,
1,5699,,0.038998931646347046,
1,5749,,0.012697171419858932,
1,5799,,0.009396974928677082,
1,5849,,0.010846718214452267,
1,5899,,0.009893815033137798,
1,5949,,0.01380007155239582,
1,5999,,0.017358360812067986,
1,6049,,0.00964974332600832,
1,6099,,0.007688232231885195,
1,6149,,0.007516751531511545,
1,6199,,0.006238707806915045,
1,6249,,0.00989165622740984,
1,6299,,0.006882411893457174,
1,6349,,0.0057486253790557384,
1,6399,,0.008493399247527122,
1,6401,,,40.250999450683594
1,6449,,0.010249619372189045,
1,6499,,0.005685519427061081,
1,6549,,0.010275432839989662,
1,6599,,0.006078748498111963,
1,6649,,0.010729191824793816,
1,6699,,0.005354854743927717,
1,6749,,0.010362422093749046,
1,6799,,0.00780400400981307,
1,6849,,0.014638451859354973,
1,6899,,0.006952263414859772,
1,6949,,0.009202740155160427,
1,6999,,0.009896013885736465,
1,7049,,0.006756805814802647,
1,7099,,0.007748433388769627,
1,7149,,0.005365392658859491,
1,7199,,0.008785855956375599,
1,7249,,0.008367061614990234,
1,7299,,0.007090776227414608,
1,7349,,0.012431874871253967,
1,7399,,0.009210923686623573,
1,7449,,0.012125656940042973,
1,7499,,0.008302100002765656,
1,7549,,0.00776484003290534,
1,7599,,0.007193559315055609,
1,7649,,0.009106004610657692,
1,7681,,,40.299537658691406
1,7699,,0.007014177739620209,
1,7749,,0.005705669987946749,
1,7799,,0.008921690285205841,
1,7849,,0.005068207159638405,
1,7899,,0.011410515755414963,
1,7949,,0.013907374814152718,
1,7999,,0.006342275533825159,
1,8049,,0.005936781410127878,
1,8099,,0.006370156072080135,
1,8149,,0.013117974624037743,
1,8199,,0.008404960855841637,
1,8249,,0.007747053634375334,
1,8299,,0.007566823624074459,
1,8349,,0.006489424500614405,
1,8399,,0.005531111266463995,
1,8449,,0.007517524994909763,
1,8499,,0.005521771498024464,
1,8549,,0.01315823383629322,
1,8599,,0.00963709969073534,
1,8649,,0.009551779367029667,
1,8699,,0.009147361852228642,
1,8749,,0.00978060532361269,
1,8799,,0.008060500025749207,
1,8849,,0.006391587667167187,
1,8899,,0.008093697018921375,
1,8949,,0.006446695886552334,
1,8961,,,40.727787017822266
1,8999,,0.013792948797345161,
1,9049,,0.0063136848621070385,
1,9099,,0.008256365545094013,
1,9149,,0.011823154985904694,
1,9199,,0.006397855933755636,
1,9249,,0.005125065799802542,
1,9299,,0.004588833078742027,
1,9349,,0.012035056948661804,
1,9399,,0.007791959680616856,
1,9449,,0.0051463148556649685,
1,9499,,0.007405802607536316,
1,9549,,0.006472982931882143,
1,9599,,0.009554249234497547,
1,9649,,0.004671132657676935,
1,9699,,0.007092704996466637,
1,9749,,0.0047738817520439625,
1,9799,,0.009515486657619476,
1,9849,,0.013740978203713894,
1,9899,,0.010591286234557629,
1,9949,,0.015243797563016415,
1,9999,,0.011090913787484169,
1,10049,,0.009541742503643036,
1,10099,,0.006328946445137262,
1,10149,,0.006042602937668562,
1,10199,,0.00709911622107029,
1,10241,,,41.26573181152344
1,10243,0.008329344913363457,,
2,10249,,0.011516575701534748,
2,10299,,0.0066262902691960335,
2,10349,,0.005670181941241026,
2,10399,,0.006578336004167795,
2,10449,,0.016728101298213005,
2,10499,,0.006910377182066441,
2,10549,,0.006834133993834257,
2,10599,,0.004844694398343563,
2,10649,,0.006119369994848967,
2,10699,,0.006012243684381247,
2,10749,,0.013008702546358109,
2,10799,,0.00589390192180872,
2,10849,,0.014538546092808247,
2,10899,,0.004836278967559338,
2,10949,,0.008050753735005856,
2,10999,,0.010055537335574627,
2,11049,,0.004663481842726469,
2,11099,,0.005934881512075663,
2,11149,,0.008801220916211605,
2,11199,,0.005554958712309599,
2,11249,,0.006194508168846369,
2,11299,,0.023729534819722176,
2,11349,,0.010327000170946121,
2,11399,,0.005165896378457546,
2,11449,,0.007603935897350311,
2,11499,,0.009597605094313622,
2,11523,,,40.0916633605957
2,11549,,0.006775683723390102,
2,11599,,0.004514316096901894,
2,11649,,0.005057343747466803,
2,11699,,0.006923953536897898,
2,11749,,0.005686410702764988,
2,11799,,0.005790350493043661,
2,11849,,0.004920400213450193,
2,11899,,0.005556195974349976,
2,11949,,0.005908587481826544,
2,11999,,0.008509969338774681,
2,12049,,0.004496236331760883,
2,12099,,0.006446447689086199,
2,12149,,0.0069061811082065105,
2,12199,,0.00535808177664876,
2,12249,,0.0044297887943685055,
2,12299,,0.0077454643324017525,
2,12349,,0.00835463311523199,
2,12399,,0.007872852496802807,
2,12449,,0.009364346973598003,
2,12499,,0.007090822793543339,
2,12549,,0.006615061312913895,
2,12599,,0.012647494673728943,
2,12649,,0.006573441904038191,
2,12699,,0.005054375622421503,
2,12749,,0.008746259845793247,
2,12799,,0.006891431286931038,
2,12803,,,40.60205841064453
2,12849,,0.0036765243858098984,
2,12899,,0.007234421093016863,
2,12949,,0.006767213344573975,
2,12999,,0.0064668599516153336,
2,13049,,0.005371315870434046,
2,13099,,0.00471346965059638,
2,13149,,0.005792232695966959,
2,13199,,0.0074965208768844604,
2,13249,,0.007974136620759964,
2,13299,,0.008551927283406258,
2,13349,,0.007980557158589363,
2,13399,,0.01460217870771885,
2,13449,,0.004766650963574648,
2,13499,,0.0107521191239357,
2,13549,,0.0075706541538238525,
2,13599,,0.0062215495854616165,
2,13649,,0.005895722657442093,
2,13699,,0.006590739358216524,
2,13749,,0.005961044225841761,
2,13799,,0.009590142406523228,
2,13849,,0.006322638131678104,
2,13899,,0.005658566020429134,
2,13949,,0.008947336114943027,
2,13999,,0.005038093775510788,
2,14049,,0.0035251323133707047,
2,14083,,,41.84009552001953
2,14099,,0.0056557985953986645,
2,14149,,0.006935042329132557,
2,14199,,0.006107297260314226,
2,14249,,0.007734387181699276,
2,14299,,0.007155740633606911,
2,14349,,0.00573630491271615,
2,14399,,0.007869822904467583,
2,14449,,0.006569672375917435,
2,14499,,0.009126187302172184,
2,14549,,0.004583034198731184,
2,14599,,0.010480430908501148,
2,14649,,0.012470830231904984,
2,14699,,0.009381698444485664,
2,14749,,0.007686954457312822,
2,14799,,0.0038098753429949284,
2,14849,,0.0056964377872645855,
2,14899,,0.0168661680072546,
2,14949,,0.010191082954406738,
2,14999,,0.005179267376661301,
2,15049,,0.007978753186762333,
2,15099,,0.006541194394230843,
2,15149,,0.009636073373258114,
2,15199,,0.0058042085729539394,
2,15249,,0.005370724946260452,
2,15299,,0.012168546207249165,
2,15349,,0.0066513498313724995,
2,15363,,,39.86784362792969
2,15365,0.0073865619488060474,,
3,15399,,0.007980947382748127,
3,15449,,0.004311806987971067,
3,15499,,0.0064239888451993465,
3,15549,,0.007749088574200869,
3,15599,,0.006362661719322205,
3,15649,,0.007614681962877512,
3,15699,,0.008306856267154217,
3,15749,,0.010352663695812225,
3,15799,,0.0051043154671788216,
3,15849,,0.006290155928581953,
3,15899,,0.007900718599557877,
3,15949,,0.008859757333993912,
3,15999,,0.00674931425601244,
3,16049,,0.005751976743340492,
3,16099,,0.005787072237581015,
3,16149,,0.0058967643417418,
3,16199,,0.005862621124833822,
3,16249,,0.006023797206580639,
3,16299,,0.006215844303369522,
3,16349,,0.0077474648132920265,
3,16399,,0.00600842572748661,
3,16449,,0.004315562080591917,
3,16499,,0.0075630503706634045,
3,16549,,0.008899019099771976,
3,16599,,0.0068384199403226376,
3,16645,,,41.66880416870117
3,16649,,0.005740179214626551,
3,16699,,0.0055992212146520615,
3,16749,,0.006050546653568745,
3,16799,,0.005059628281742334,
3,16849,,0.006151181645691395,
3,16899,,0.005650341510772705,
3,16949,,0.008639697916805744,
3,16999,,0.009076548740267754,
3,17049,,0.005247207824140787,
3,17099,,0.006420937366783619,
3,17149,,0.004795997403562069,
3,17199,,0.0063358391635119915,
3,17249,,0.007696013431996107,
3,17299,,0.0062157330103218555,
3,17349,,0.008673361502587795,
3,17399,,0.006008355878293514,
3,17449,,0.005274731665849686,
3,17499,,0.00561675988137722,
3,17549,,0.005305159837007523,
3,17599,,0.005005215294659138,
3,17649,,0.003922884818166494,
3,17699,,0.0056243352591991425,
3,17749,,0.004978989250957966,
